,,>0,
1010,1010,0,
692,692,0,
888.1570782,475,0.869804375,
1404,1404,0,
1042,1042,0,
1155,1155,0,
1786,1786,0,
1802,1802,0,
1806.301692,1892,0.045295089,
2346,2346,0,
2722,2722,0,
3487,3487,0,
1968,1968,0,
1585,1585,0,
1696,1696,0,
1812,1812,0,
2049,2049,0,
2647,2647,0,
3384,3384,0,
3826,3826,0,
3545,3545,0,
2463,2463,0,
1474,1474,0,
1537.732101,1070,0.437132805,
775,775,0,
521,521,0,
324,324,0,
252,252,0,
301,301,0,
1371,1371,0,
718,718,0,
1291,1291,0,
2150,2150,0,
3233,3233,0,
3753,3753,0,
2665,2665,0,
2353,2353,0,
1544,1544,0,
1673,1673,0,
1873,1873,0,
2196,2196,0,
2688,2688,0,
3366,3366,0,
4026,4026,0,
3932,3932,0,
3095,3095,0,
1787,1787,0,
1090,1090,0,
913,913,0,
1694,1694,0,
2238,2238,0,
751,751,0,
954,954,0,
1943,1943,0,
1159,1159,0,
480,480,0,
1156,1156,0,
1514,1514,0,
1380,1380,0,
1660,1660,0,
3090,3090,0,
1850,1850,0,
1617,1617,0,
2040,2040,0,
2193,2193,0,
2800,2800,0,
3459,3459,0,
4072,4072,0,
3914,3914,0,
2823,2823,0,
2650.599714,1693,0.565622985,
1129,1129,0,
1256.932234,1576,0.202454166,
1078,1078,0,
1375,1375,0,
588,588,0,
565,565,0,
526,526,0,
564,564,0,
835,835,0,
1299,1299,0,
1701,1701,0,
2122,2122,0,
2071.434545,2103,0.015009727,
2285,2285,0,
2329,2329,0,
2394,2394,0,
2591,2591,0,
2925,2925,0,
3166,3166,0,
3648,3648,0,
3333.854576,4049,0.176622727,
3906,3906,0,
3131,3131,0,
2245,2245,0,
1690,1690,0,
1376,1376,0,
1459.076841,1025,0.423489601,
806,806,0,
1265,1265,0,
948,948,0,
950,950,0,
1521,1521,0,
2883,2883,0,
2797,2797,0,
1842,1842,0,
2575,2575,0,
2446.844975,3420,0.284548253,
2156,2156,0,
1817,1817,0,
1822.804807,1986,0.082172806,
2183,2183,0,
2520,2520,0,
3116,3116,0,
1225,1225,0,
2741,2741,0,
4814,4814,0,
4018,4018,0,
2235,2235,0,
1424,1424,0,
988,988,0,
851,851,0,
1033.990651,575,0.798244611,
730,730,0,
474,474,0,
581,581,0,
545,545,0,
1302,1302,0,
1608,1608,0,
1250,1250,0,
1726,1726,0,
2248,2248,0,
1844,1844,0,
1837,1837,0,
2069,2069,0,
2028.961709,2276,0.10854055,
1996.231905,2340,0.146909442,
2552,2552,0,
2844,2844,0,
3048,3048,0,
3137,3137,0,
2661,2661,0,
1739,1739,0,
1235,1235,0,
991,991,0,
882,882,0,
738,738,0,
671,671,0,
761,761,0,
686,686,0,
1000,1000,0,
1343,1343,0,
1230,1230,0,
1340.331428,1628,0.176700597,
1509,1509,0,
2450,2450,0,
1647,1647,0,
1999,1999,0,
3041,3041,0,
3065,3065,0,
3431,3431,0,
3367,3367,0,
3322,3322,0,
3651,3651,0,
3332.463817,3562,0.064440254,
3136,3136,0,
2518,2518,0,
2125,2125,0,
1867,1867,0,
1212,1212,0,
851,851,0,
1029.644759,248,3.151793384,
160,160,0,
172,172,0,
350,350,0,
1429,1429,0,
1953,1953,0,
2280,2280,0,
3311,3311,0,
2743,2743,0,
1892,1892,0,
1429,1429,0,
1796,1796,0,
1835,1835,0,
1838.058056,2136,0.139485929,
2653,2653,0,
3283,3283,0,
3747,3747,0,
3902,3902,0,
2677,2677,0,
1618,1618,0,
1051,1051,0,
783,783,0,
546,546,0,
337,337,0,
188,188,0,
132,132,0,
137,137,0,
435.7650307,184,1.36828821,
839,839,0,
2880,2880,0,
2179,2179,0,
2041,2041,0,
2427,2427,0,
1753,1753,0,
1709,1709,0,
1776,1776,0,
2075,2075,0,
2445,2445,0,
2860,2860,0,
3474,3474,0,
3187.642275,3870,0.176319826,
3741,3741,0,
3106,3106,0,
1787,1787,0,
1185,1185,0,
844,844,0,
630,630,0,
369,369,0,
630.079866,188,2.351488649,
164,164,0,
173,173,0,
168,168,0,
459.8550016,424,0.084563683,
899,899,0,
1214,1214,0,
1486,1486,0,
1859,1859,0,
1764,1764,0,
1750,1750,0,
1378,1378,0,
2287,2287,0,
2222,2222,0,
2859,2859,0,
3500,3500,0,
3212.226862,4172,0.230051088,
2974.736213,3975,0.251638689,
3059,3059,0,
1855,1855,0,
1171,1171,0,
929,929,0,
644,644,0,
433,433,0,
218,218,0,
152,152,0,
155,155,0,
444.189084,215,1.065995739,
471,471,0,
843,843,0,
1184,1184,0,
1459,1459,0,
1543,1543,0,
1599,1599,0,
1637,1637,0,
1956,1956,0,
1934.935217,2057,0.059341168,
2353,2353,0,
2966,2966,0,
3844,3844,0,
4348,4348,0,
3925.747349,4116,0.046222704,
3413,3413,0,
2152,2152,0,
1348,1348,0,
1004,1004,0,
706,706,0,
429,429,0,
668.1441244,256,1.609937986,
196,196,0,
142,142,0,
709,709,0,
1390,1390,0,
1496,1496,0,
1624,1624,0,
1986,1986,0,
1960.190905,2425,0.191673853,
1760,1760,0,
1876,1876,0,
1892,1892,0,
2270,2270,0,
2582,2582,0,
3316,3316,0,
3906,3906,0,
4137,4137,0,
4066,4066,0,
3389,3389,0,
2247,2247,0,
1508,1508,0,
1037,1037,0,
937,937,0,
552,552,0,
351,351,0,
224,224,0,
222,222,0,
172,172,0,
283,283,0,
1524,1524,0,
2738,2738,0,
2213,2213,0,
1761,1761,0,
1764,1764,0,
1832,1832,0,
2128,2128,0,
1946,1946,0,
1927.484154,2309,0.165229903,
2968,2968,0,
3101,3101,0,
3412,3412,0,
3151.46222,3580,0.119703291,
3378,3378,0,
2610,2610,0,
2482.721854,1699,0.461284199,
1394,1394,0,
1109,1109,0,
712,712,0,
434,434,0,
666.4930992,275,1.42361127,
253,253,0,
227,227,0,
216,216,0,
260,260,0,
480,480,0,
1510,1510,0,
1037,1037,0,
1524,1524,0,
1929,1929,0,
1912.63175,2333,0.180183562,
2583,2583,0,
2685,2685,0,
2544.574116,2988,0.148402237,
2427.357883,2942,0.17492934,
2721,2721,0,
2558,2558,0,
2516,2516,0,
2192,2192,0,
1894,1894,0,
1252,1252,0,
752,752,0,
447,447,0,
242,242,0,
163,163,0,
149,149,0,
188,188,0,
654,654,0,
2244,2244,0,
2222,2222,0,
1943,1943,0,
1939,1939,0,
2389,2389,0,
1726,1726,0,
1751,1751,0,
2014,2014,0,
1983.241762,2312,0.14219647,
2814,2814,0,
3619,3619,0,
3327.461428,4001,0.168342557,
3969,3969,0,
2802,2802,0,
1675,1675,0,
1186,1186,0,
964,964,0,
717,717,0,
899.220687,420,1.141001636,
701,701,0,
1976,1976,0,
2063,2063,0,
2024.566077,1276,0.58665053,
1187,1187,0,
1292.644767,1361,0.050224271,
2217,2217,0,
3315,3315,0,
3435,3435,0,
2436,2436,0,
1725,1725,0,
1742.715935,1866,0.066068631,
1933,1933,0,
2174,2174,0,
2913,2913,0,
3331,3331,0,
4243,4243,0,
4084,4084,0,
2949,2949,0,
1593,1593,0,
1180,1180,0,
1288.917466,1491,0.135534899,
1576,1576,0,
1790,1790,0,
2126,2126,0,
2455,2455,0,
537,537,0,
165,165,0,
372,372,0,
734,734,0,
1074,1074,0,
1289,1289,0,
1498,1498,0,
2124,2124,0,
1499,1499,0,
1849,1849,0,
2013,2013,0,
2359,2359,0,
2881,2881,0,
3878,3878,0,
4330,4330,0,
4059,4059,0,
3231,3231,0,
1905,1905,0,
1332,1332,0,
927,927,0,
733,733,0,
411,411,0,
197,197,0,
165,165,0,
149,149,0,
423.6146909,475,0.108179598,
509,509,0,
1786,1786,0,
2156,2156,0,
2440,2440,0,
2183,2183,0,
1969,1969,0,
1708,1708,0,
1865,1865,0,
2094,2094,0,
2385,2385,0,
3027,3027,0,
3815,3815,0,
3493.030519,4282,0.184252564,
4256,4256,0,
3378,3378,0,
2082,2082,0,
1390,1390,0,
1052,1052,0,
746,746,0,
450,450,0,
313,313,0,
1566,1566,0,
1302,1302,0,
985,985,0,
1243,1243,0,
2180,2180,0,
3331,3331,0,
3064,3064,0,
3253,3253,0,
2141,2141,0,
1936,1936,0,
2089,2089,0,
2174,2174,0,
2824,2824,0,
3468,3468,0,
3878,3878,0,
3547.349924,4250,0.16532943,
4142,4142,0,
3519,3519,0,
2288,2288,0,
1670,1670,0,
1192,1192,0,
896,896,0,
589,589,0,
793.4084218,455,0.743754773,
1503,1503,0,
1065,1065,0,
1030,1030,0,
1704,1704,0,
2259,2259,0,
2428,2428,0,
2924,2924,0,
2748.202069,2982,0.078403062,
2329,2329,0,
2158,2158,0,
2315,2315,0,
2313,2313,0,
2527,2527,0,
2723,2723,0,
2580.638066,3036,0.149987462,
3664,3664,0,
3716,3716,0,
3356,3356,0,
3113.181606,2948,0.056031753,
1917,1917,0,
1559,1559,0,
1087,1087,0,
696,696,0,
883.6600011,380,1.325421055,
277,277,0,
859,859,0,
1143,1143,0,
1377,1377,0,
1857,1857,0,
1834,1834,0,
2049,2049,0,
2026,2026,0,
1605,1605,0,
2113,2113,0,
2364,2364,0,
2637,2637,0,
2705,2705,0,
2865,2865,0,
3356,3356,0,
3354,3354,0,
3522,3522,0,
2900,2900,0,
2155,2155,0,
1573,1573,0,
1343,1343,0,
1425.950743,2744,0.48033865,
1966,1966,0,
1189,1189,0,
1789,1789,0,
1883,1883,0,
1575,1575,0,
2138,2138,0,
2870,2870,0,
2891,2891,0,
1206,1206,0,
1240,1240,0,
3065,3065,0,
2060,2060,0,
2460,2460,0,
2581,2581,0,
2932,2932,0,
3386,3386,0,
3676,3676,0,
4007,4007,0,
3763,3763,0,
2810,2810,0,
2184,2184,0,
2739,2739,0,
1737,1737,0,
2053,2053,0,
2731,2731,0,
2381,2381,0,
372,372,0,
361,361,0,
179,179,0,
373,373,0,
797,797,0,
1293,1293,0,
1386.434478,1910,0.274118074,
1690,1690,0,
2688,2688,0,
1804,1804,0,
1823,1823,0,
2022,2022,0,
2370,2370,0,
2661,2661,0,
3586,3586,0,
4079,4079,0,
3801,3801,0,
3142,3142,0,
2933.783115,2148,0.365820817,
1843,1843,0,
1471,1471,0,
2032,2032,0,
2005.214414,2512,0.201745854,
2220,2220,0,
2290,2290,0,
431,431,0,
199,199,0,
364,364,0,
3131,3131,0,
1750,1750,0,
1388,1388,0,
2098,2098,0,
2411,2411,0,
1817,1817,0,
1929,1929,0,
2015,2015,0,
2378,2378,0,
3043,3043,0,
2845.195254,3435,0.171704439,
2680.837206,4500,0.404258399,
4172,4172,0,
3170,3170,0,
1730,1730,0,
1754.233776,1221,0.436718899,
1599,1599,0,
919,919,0,
804,804,0,
657,657,0,
1006,1006,0,
1345,1345,0,
1582,1582,0,
686,686,0,
757,757,0,
944.6969111,1462,0.353832482,
1100.531966,1241,0.113189391,
2223,2223,0,
2033,2033,0,
1724,1724,0,
1854,1854,0,
1856.014048,2005,0.074307208,
1857.684855,2190,0.151742075,
3051,3051,0,
3922,3922,0,
4172,4172,0,
4177,4177,0,
2921,2921,0,
1862,1862,0,
1187,1187,0,
935,935,0,
703,703,0,
929,929,0,
639,639,0,
846.4204984,537,0.576202045,
482,482,0,
529,529,0,
822,822,0,
1228,1228,0,
1619,1619,0,
1932,1932,0,
2042,2042,0,
2178,2178,0,
2448,2448,0,
2764,2764,0,
2929,2929,0,
2827,2827,0,
3376,3376,0,
3889,3889,0,
4071,4071,0,
3923,3923,0,
3359,3359,0,
2672,2672,0,
2010,2010,0,
1514,1514,0,
1421,1421,0,
995,995,0,
808,808,0,
641,641,0,
566,566,0,
782.2101379,548,0.427390763,
681,681,0,
893,893,0,
1106,1106,0,
1556,1556,0,
1949,1949,0,
2406,2406,0,
2762,2762,0,
2614.248488,2626,0.004475062,
2491.042242,2788,0.106512826,
3068,3068,0,
3159,3159,0,
3406,3406,0,
3854,3854,0,
3900,3900,0,
3132,3132,0,
2500,2500,0,
1996,1996,0,
1765,1765,0,
1783.519631,1565,0.139629157,
1077,1077,0,
405,405,0,
307,307,0,
329,329,0,
1289,1289,0,
759,759,0,
930,930,0,
1313,1313,0,
2157,2157,0,
1965,1965,0,
1641,1641,0,
2074,2074,0,
2162,2162,0,
2535,2535,0,
2816,2816,0,
2859,2859,0,
2937,2937,0,
3150,3150,0,
2942,2942,0,
2635,2635,0,
1943,1943,0,
1473,1473,0,
1205,1205,0,
805,805,0,
980.0504635,445,1.202360592,
235,235,0,
219,219,0,
163,163,0,
205,205,0,
1286,1286,0,
1086,1086,0,
1677,1677,0,
2238,2238,0,
2172,2172,0,
2122.570998,1639,0.295040267,
1565,1565,0,
1847,1847,0,
1850.596729,1939,0.045592197,
2282,2282,0,
2736,2736,0,
3516,3516,0,
3673,3673,0,
3839,3839,0,
3055,3055,0,
1706,1706,0,
1090,1090,0,
888,888,0,
573,573,0,
396,396,0,
233,233,0,
163,163,0,
146,146,0,
216,216,0,
413,413,0,
875,875,0,
1337,1337,0,
1641,1641,0,
1554,1554,0,
1729,1729,0,
1686,1686,0,
1807,1807,0,
1922,1922,0,
1912.623597,2233,0.143473535,
2905,2905,0,
3681,3681,0,
4194,4194,0,
4174,4174,0,
3807.651264,3231,0.178474548,
1777,1777,0,
1264,1264,0,
922,922,0,
661,661,0,
855.1298915,382,1.238559925,
219,219,0,
482.9796129,138,2.499852268,
160,160,0,
222,222,0,
405,405,0,
637.2581144,876,0.272536399,
832.3665281,1362,0.388864517,
1478,1478,0,
1511,1511,0,
1721,1721,0,
1608,1608,0,
1787,1787,0,
2068,2068,0,
2428,2428,0,
2916,2916,0,
3567,3567,0,
3296.154503,4264,0.226980651,
4032,4032,0,
3075,3075,0,
1768,1768,0,
1197,1197,0,
1825,1825,0,
1304,1304,0,
2013,2013,0,
1727,1727,0,
240,240,0,
126,126,0,
568,568,0,
499,499,0,
800,800,0,
1117,1117,0,
1510,1510,0,
1858,1858,0,
2775,2775,0,
2628.563045,3029,0.132201042,
4128,4128,0,
2941,2941,0,
2805,2805,0,
3342,3342,0,
3838,3838,0,
4520,4520,0,
3893,3893,0,
2831,2831,0,
2778,2778,0,
2982,2982,0,
3202,3202,0,
2483,2483,0,
1051,1051,0,
599,599,0,
524,524,0,
518,518,0,
580,580,0,
832,832,0,
928,928,0,
1639,1639,0,
2030,2030,0,
2154,2154,0,
2327,2327,0,
2512,2512,0,
2534,2534,0,
2851,2851,0,
3259,3259,0,
3385,3385,0,
3821,3821,0,
4109,4109,0,
3990,3990,0,
3287,3287,0,
2639,2639,0,
2025,2025,0,
2001.584576,1630,0.227965997,
1466,1466,0,
1036,1036,0,
798,798,0,
603,603,0,
625,625,0,
571,571,0,
697,697,0,
836,836,0,
998.0796727,1159,0.138844113,
1514,1514,0,
2098,2098,0,
2062.264917,2558,0.193797921,
2753,2753,0,
