,,>0,
2793,2793,0,
3062,3062,0,
2990,2990,0,
3237,3237,0,
3375,3375,0,
3141.284835,3609,0.129596887,
2944.11471,3615,0.185583759,
3208,3208,0,
2809,2809,0,
2185,2185,0,
1994,1994,0,
1845,1845,0,
1295,1295,0,
1172,1172,0,
1226,1226,0,
1345,1345,0,
1427.890347,2291,0.376739264,
1497.812538,2022,0.259242068,
488,488,0,
1000,1000,0,
803,803,0,
2690,2690,0,
1834,1834,0,
2215,2215,0,
2368,2368,0,
2444,2444,0,
2691,2691,0,
2788,2788,0,
2915,2915,0,
3063,3063,0,
2899,2899,0,
2556,2556,0,
1989,1989,0,
1481,1481,0,
1200,1200,0,
787,787,0,
1583,1583,0,
718,718,0,
529,529,0,
553,553,0,
607,607,0,
860,860,0,
1018.490665,1328,0.233064258,
1779,1779,0,
1788,1788,0,
1878,1878,0,
1946,1946,0,
2315,2315,0,
2519,2519,0,
2432,2432,0,
2625,2625,0,
3009,3009,0,
3513,3513,0,
3258.014463,3826,0.148454139,
3823,3823,0,
3014,3014,0,
2126,2126,0,
1654,1654,0,
1331,1331,0,
988,988,0,
1126.971688,722,0.560902615,
218,218,0,
514,514,0,
902,902,0,
416,416,0,
908,908,0,
1705,1705,0,
3027,3027,0,
3299,3299,0,
2288,2288,0,
1777,1777,0,
1693,1693,0,
1722,1722,0,
2007,2007,0,
2235,2235,0,
2853,2853,0,
3565,3565,0,
3757,3757,0,
4136,4136,0,
3786.808168,3101,0.2211571,
1875,1875,0,
1193,1193,0,
930,930,0,
640,640,0,
379,379,0,
193,193,0,
141,141,0,
933,933,0,
1422,1422,0,
1710,1710,0,
1735.757709,1409,0.231907529,
1876,1876,0,
2178,2178,0,
1844,1844,0,
1508,1508,0,
1678,1678,0,
1786,1786,0,
1996,1996,0,
2342,2342,0,
3158,3158,0,
3843,3843,0,
4231,4231,0,
3980,3980,0,
3134,3134,0,
1928,1928,0,
1240,1240,0,
984,984,0,
651,651,0,
450,450,0,
1461,1461,0,
1041,1041,0,
1171,1171,0,
1280.757238,1814,0.293959626,
937,937,0,
1765,1765,0,
3417,3417,0,
2629,2629,0,
1814,1814,0,
1688,1688,0,
1717.626854,1707,0.006225457,
1874,1874,0,
1874.480429,2035,0.078879396,
2446,2446,0,
3252,3252,0,
3789,3789,0,
4112,4112,0,
3766.127611,4172,0.097284849,
3379,3379,0,
2069,2069,0,
1437,1437,0,
926,926,0,
702,702,0,
456,456,0,
365,365,0,
1251,1251,0,
754,754,0,
758,758,0,
882,882,0,
1972,1972,0,
3219,3219,0,
2510,2510,0,
2236,2236,0,
2084,2084,0,
1810,1810,0,
2098,2098,0,
2222,2222,0,
2629,2629,0,
3407,3407,0,
3824,3824,0,
4145,4145,0,
4129,4129,0,
3430,3430,0,
2136,2136,0,
1492,1492,0,
1110,1110,0,
914,914,0,
590,590,0,
404,404,0,
261,261,0,
1235,1235,0,
1424,1424,0,
871,871,0,
1367,1367,0,
2240,2240,0,
2184.0348,2896,0.245844337,
2136.803087,1961,0.089649713,
1846,1846,0,
1902,1902,0,
2235,2235,0,
2179.883394,2426,0.101449549,
2133.369698,2362,0.096795217,
2749,2749,0,
3030,3030,0,
3281,3281,0,
3367,3367,0,
3058,3058,0,
2100,2100,0,
2066.568557,1556,0.328128893,
1441,1441,0,
1044,1044,0,
672,672,0,
859.8413402,432,0.990373473,
269,269,0,
1067,1067,0,
2166,2166,0,
2944,2944,0,
2806,2806,0,
2942,2942,0,
1500,1500,0,
1455,1455,0,
2027,2027,0,
2422,2422,0,
2667,2667,0,
2588,2588,0,
2834,2834,0,
2940,2940,0,
3025,3025,0,
2956,2956,0,
2592,2592,0,
2100,2100,0,
1857,1857,0,
1410,1410,0,
893,893,0,
516,516,0,
335,335,0,
196,196,0,
965,965,0,
1555,1555,0,
1926,1926,0,
1335,1335,0,
1773,1773,0,
2713,2713,0,
2972,2972,0,
2027,2027,0,
1677,1677,0,
1852,1852,0,
2014,2014,0,
2119,2119,0,
2805,2805,0,
3531,3531,0,
3919,3919,0,
3919,3919,0,
2865,2865,0,
1822,1822,0,
1326,1326,0,
890,890,0,
619,619,0,
436,436,0,
660.8811382,410,0.611905215,
248,248,0,
154,154,0,
207,207,0,
419,419,0,
832,832,0,
1274,1274,0,
1367.657314,1472,0.070884977,
1543,1543,0,
1560,1560,0,
1621,1621,0,
1813,1813,0,
1939,1939,0,
2222,2222,0,
2951,2951,0,
3558,3558,0,
4027,4027,0,
4025,4025,0,
2870,2870,0,
1831,1831,0,
1288,1288,0,
1002,1002,0,
748,748,0,
460,460,0,
223,223,0,
155,155,0,
125,125,0,
211,211,0,
408,408,0,
888,888,0,
1039.029106,1197,0.131972342,
1514,1514,0,
1687,1687,0,
1691,1691,0,
1792,1792,0,
1767,1767,0,
2001,2001,0,
2264,2264,0,
2204.666225,3019,0.269736262,
3828,3828,0,
3929,3929,0,
3912,3912,0,
3603.309532,3421,0.053291298,
1944,1944,0,
1459,1459,0,
1019,1019,0,
777,777,0,
471,471,0,
284,284,0,
166,166,0,
426.0541834,160,1.662838646,
196,196,0,
513,513,0,
866,866,0,
1211,1211,0,
1595,1595,0,
2100,2100,0,
1703,1703,0,
1655,1655,0,
1730,1730,0,
2074,2074,0,
2297,2297,0,
2411,2411,0,
2329.245781,3335,0.301575478,
4128,4128,0,
4321,4321,0,
3574,3574,0,
2190,2190,0,
1611,1611,0,
1022,1022,0,
933,933,0,
514,514,0,
310,310,0,
201,201,0,
206,206,0,
192,192,0,
513,513,0,
857,857,0,
1220,1220,0,
1318.445062,1556,0.152670269,
1763,1763,0,
1779.202729,1676,0.061576807,
1792.943518,1897,0.05485318,
2120,2120,0,
2244,2244,0,
2453,2453,0,
3415,3415,0,
4151,4151,0,
4437,4437,0,
4053.640965,3475,0.166515386,
3984,3984,0,
2307,2307,0,
1784,1784,0,
948,948,0,
989,989,0,
1122.681553,662,0.695893585,
1236.144151,383,2.227530419,
251,251,0,
244,244,0,
208,208,0,
314,314,0,
462,462,0,
557,557,0,
753.5523172,921,0.181810731,
1559,1559,0,
2141,2141,0,
2079,2079,0,
2077,2077,0,
2284,2284,0,
2221.789254,2368,0.061744403,
2514,2514,0,
2584,2584,0,
2611,2611,0,
2715,2715,0,
2217,2217,0,
1776,1776,0,
1618,1618,0,
1344,1344,0,
1203,1203,0,
852,852,0,
529,529,0,
328,328,0,
268,268,0,
277,277,0,
293,293,0,
502,502,0,
732,732,0,
1480,1480,0,
2003,2003,0,
1724,1724,0,
2209,2209,0,
2120,2120,0,
2549,2549,0,
2553,2553,0,
2907,2907,0,
2868,2868,0,
3407,3407,0,
3340,3340,0,
2760,2760,0,
2161,2161,0,
1874,1874,0,
1363,1363,0,
907,907,0,
495,495,0,
336,336,0,
201,201,0,
196,196,0,
683,683,0,
2021,2021,0,
1570,1570,0,
1466,1466,0,
2089,2089,0,
2458,2458,0,
1642,1642,0,
1621,1621,0,
1973,1973,0,
2004,2004,0,
2208,2208,0,
2873,2873,0,
3565,3565,0,
4000,4000,0,
4092,4092,0,
2862,2862,0,
1829,1829,0,
1355,1355,0,
924,924,0,
666,666,0,
423,423,0,
217,217,0,
173,173,0,
423.0195968,141,2.000138984,
187,187,0,
453,453,0,
858,858,0,
1261,1261,0,
1531,1531,0,
1567,1567,0,
1687,1687,0,
1656,1656,0,
1686.31365,1852,0.089463472,
1945,1945,0,
2250,2250,0,
2324,2324,0,
3153,3153,0,
4024,4024,0,
3706.587551,3876,0.043708062,
3189,3189,0,
1851,1851,0,
1484,1484,0,
946,946,0,
1081.676497,747,0.448027439,
1197.246406,453,1.642928049,
244,244,0,
150,150,0,
160,160,0,
216,216,0,
404,404,0,
1484,1484,0,
1539.277258,2130,0.277334621,
1586.384638,2200,0.278916074,
3222,3222,0,
2064,2064,0,
1716,1716,0,
1885,1885,0,
2090,2090,0,
2363,2363,0,
3084,3084,0,
4008,4008,0,
4426,4426,0,
4163,4163,0,
3404,3404,0,
2077,2077,0,
1473,1473,0,
1018,1018,0,
784,784,0,
455,455,0,
246,246,0,
195,195,0,
287,287,0,
1479,1479,0,
1104,1104,0,
1376,1376,0,
1712,1712,0,
2417,2417,0,
2771,2771,0,
2152,2152,0,
1719,1719,0,
1905,1905,0,
1988,1988,0,
2386,2386,0,
3152,3152,0,
4056,4056,0,
3734.157299,4318,0.135211371,
3459.680234,3996,0.134214156,
3463,3463,0,
2344,2344,0,
1539,1539,0,
1081,1081,0,
869,869,0,
478,478,0,
770,770,0,
2020,2020,0,
850,850,0,
999.5377217,635,0.574075152,
1025,1025,0,
1388,1388,0,
2131,2131,0,
2051,2051,0,
2023.038365,2775,0.270977166,
2287,2287,0,
1921,1921,0,
2127,2127,0,
2187,2187,0,
2600,2600,0,
3221,3221,0,
4179,4179,0,
3889,3889,0,
4215,4215,0,
3444,3444,0,
2329,2329,0,
1851,1851,0,
1107,1107,0,
1168,1168,0,
679,679,0,
645,645,0,
1413,1413,0,
953,953,0,
749,749,0,
913.1656041,830,0.100199523,
1308,1308,0,
1389.870581,2069,0.328240415,
2802,2802,0,
3119,3119,0,
1948,1948,0,
1935.707218,2029,0.045979685,
2077,2077,0,
2317,2317,0,
2429,2429,0,
2714,2714,0,
2741,2741,0,
3266,3266,0,
3029,3029,0,
3286,3286,0,
2442,2442,0,
1892,1892,0,
1888.549813,1684,0.121466635,
1328,1328,0,
1407.85145,845,0.66609639,
511,511,0,
291,291,0,
1012,1012,0,
796,796,0,
1159,1159,0,
1280,1280,0,
1726,1726,0,
1881,1881,0,
2015,2015,0,
2069,2069,0,
2224,2224,0,
2618,2618,0,
2506.949972,2778,0.097570204,
2969,2969,0,
2806.438116,3100,0.094697382,
3057,3057,0,
3137,3137,0,
2861,2861,0,
2427,2427,0,
1864,1864,0,
1387,1387,0,
1458.055898,1209,0.20600157,
859,859,0,
485,485,0,
1463,1463,0,
2326,2326,0,
1209,1209,0,
1033,1033,0,
1114,1114,0,
1225.256268,1991,0.384602577,
3053,3053,0,
1931,1931,0,
2139,2139,0,
2236,2236,0,
1561,1561,0,
1897,1897,0,
1875,1875,0,
2246,2246,0,
2642,2642,0,
3318,3318,0,
3710,3710,0,
3676,3676,0,
2267,2267,0,
1567,1567,0,
1155,1155,0,
941,941,0,
624,624,0,
397,397,0,
200,200,0,
256,256,0,
1949,1949,0,
1190,1190,0,
1338,1338,0,
1497,1497,0,
1789,1789,0,
1800.418627,2025,0.110904382,
2240,2240,0,
2092,2092,0,
1750,1750,0,
1725,1725,0,
1863,1863,0,
2252,2252,0,
2885,2885,0,
3765,3765,0,
4172,4172,0,
4158,4158,0,
3000,3000,0,
1803,1803,0,
1379,1379,0,
928,928,0,
713,713,0,
401,401,0,
474,474,0,
1727,1727,0,
849,849,0,
695,695,0,
1147,1147,0,
1254.216534,1669,0.248522148,
2146,2146,0,
2975,2975,0,
2436,2436,0,
2389,2389,0,
2289,2289,0,
1961,1961,0,
2255,2255,0,
2769,2769,0,
3643,3643,0,
3956,3956,0,
4364,4364,0,
4178,4178,0,
3324,3324,0,
1933,1933,0,
1443,1443,0,
984,984,0,
801,801,0,
1409,1409,0,
1233,1233,0,
1362,1362,0,
588,588,0,
1183,1183,0,
1237,1237,0,
1288,1288,0,
1898,1898,0,
2810,2810,0,
3786,3786,0,
2855,2855,0,
1804,1804,0,
1962,1962,0,
2061,2061,0,
2465,2465,0,
3046,3046,0,
3880,3880,0,
4078,4078,0,
4178,4178,0,
3133,3133,0,
2125,2125,0,
1469,1469,0,
1071,1071,0,
909,909,0,
518,518,0,
719.6667128,334,1.154690757,
411,411,0,
946,946,0,
1630,1630,0,
1078,1078,0,
1368,1368,0,
1650,1650,0,
2504,2504,0,
2573,2573,0,
1686,1686,0,
1979,1979,0,
2107,2107,0,
2266,2266,0,
2629,2629,0,
3365,3365,0,
3859,3859,0,
4311,4311,0,
3573,3573,0,
3643,3643,0,
2230,2230,0,
1673,1673,0,
1067,1067,0,
1128,1128,0,
665,665,0,
440,440,0,
261,261,0,
1091,1091,0,
1083,1083,0,
898,898,0,
1042,1042,0,
1183,1183,0,
1891,1891,0,
2519,2519,0,
1844,1844,0,
2086,2086,0,
2054.290097,2275,0.097015342,
2457,2457,0,
2461,2461,0,
2641,2641,0,
2526.953518,2854,0.11459232,
2429.905535,3186,0.237317786,
3265,3265,0,
2869,2869,0,
2182,2182,0,
1927,1927,0,
1634,1634,0,
1669.945337,1296,0.288538069,
763,763,0,
928.3886778,459,1.022633285,
334,334,0,
214,214,0,
228,228,0,
381,381,0,
1967,1967,0,
2542,2542,0,
1926,1926,0,
1975,1975,0,
1880,1880,0,
1878.815474,2311,0.187011911,
2411,2411,0,
2708,2708,0,
2986,2986,0,
3063,3063,0,
3074,3074,0,
2984,2984,0,
2992,2992,0,
2591,2591,0,
2033,2033,0,
1685,1685,0,
1383,1383,0,
889,889,0,
1035.445004,616,0.680917213,
1151,1151,0,
586,586,0,
582,582,0,
519,519,0,
1911,1911,0,
1905.265342,2535,0.248416039,
1791,1791,0,
2601,2601,0,
2635,2635,0,
2280,2280,0,
2219.467225,1844,0.203615632,
1921,1921,0,
1978,1978,0,
2182,2182,0,
2879,2879,0,
3609,3609,0,
3890,3890,0,
3733,3733,0,
2714,2714,0,
1625,1625,0,
1245,1245,0,
1338.946748,975,0.373278716,
611,611,0,
402,402,0,
620.5476668,1399,0.556434834,
666,666,0,
680,680,0,
1581,1581,0,
964,964,0,
1356,1356,0,
1573,1573,0,
2268,2268,0,
2796,2796,0,
2019,2019,0,
1853,1853,0,
1828,1828,0,
1567,1567,0,
2409,2409,0,
2975,2975,0,
3747,3747,0,
4080,4080,0,
4112,4112,0,
2927,2927,0,
1877,1877,0,
1336,1336,0,
986,986,0,
1118.367052,723,0.546842396,
428,428,0,
260,260,0,
152,152,0,
406.7516939,142,1.864448548,
802,802,0,
1063,1063,0,
1182,1182,0,
1658,1658,0,
1689.732882,2825,0.401864467,
2130,2130,0,
1605,1605,0,
1652,1652,0,
1964,1964,0,
1950.352144,2009,0.029192561,
2344,2344,0,
3137,3137,0,
3864,3864,0,
4129,4129,0,
4161,4161,0,
3117,3117,0,
2063,2063,0,
1709,1709,0,
1065,1065,0,
892,892,0,
441,441,0,
283,283,0,
166,166,0,
163,163,0,
212,212,0,
496,496,0,
697.9842057,918,0.239668621,
1227,1227,0,
1541,1541,0,
1455,1455,0,
1699,1699,0,
1828,1828,0,
1820,1820,0,
2032,2032,0,
2566,2566,0,
3487,3487,0,
3889,3889,0,
4363,4363,0,
4147,4147,0,
3502,3502,0,
2245,2245,0,
1720,1720,0,
1742.706259,1072,0.625658824,
948,948,0,
524,524,0,
283,283,0,
216,216,0,
172,172,0,
268,268,0,
452,452,0,
842,842,0,
1219,1219,0,
1415,1415,0,
1439,1439,0,
1639,1639,0,
2030,2030,0,
1992,1992,0,
1974.102419,2072,0.047247867,
2421,2421,0,
3323,3323,0,
4223,4223,0,
4231,4231,0,
4011,4011,0,
3192,3192,0,
2212,2212,0,
1832,1832,0,
974,974,0,
1027,1027,0,
704,704,0,
381,381,0,
251,251,0,
257,257,0,
229,229,0,
466.1340255,675,0.309431073,
1370,1370,0,
1357,1357,0,
1907,1907,0,
2350,2350,0,
1815,1815,0,
1984,1984,0,
2151,2151,0,
2357,2357,0,
2449,2449,0,
2708,2708,0,
3092,3092,0,
2915.19033,3354,0.130831744,
3425,3425,0,
3013,3013,0,
2380,2380,0,
1969,1969,0,
1615,1615,0,
1280,1280,0,
797,797,0,
607,607,0,
1444,1444,0,
1505.854627,808,0.863681469,
590,590,0,
827,827,0,
1626,1626,0,
2957,2957,0,
1286,1286,0,
2429,2429,0,
2347.357102,2473,0.050805863,
2472,2472,0,
2110,2110,0,
2762,2762,0,
2898,2898,0,
2954,2954,0,
3171,3171,0,
2981.801275,3199,0.067895819,
3054,3054,0,
2608,2608,0,
2272,2272,0,
1744,1744,0,
2180,2180,0,
1607,1607,0,
2782,2782,0,
705,705,0,
581,581,0,
583,583,0,
598,598,0,
939,939,0,
1391,1391,0,
1461.461217,1712,0.146342747,
2013,2013,0,
2084,2084,0,
2209,2209,0,
2304,2304,0,
2401,2401,0,
2650,2650,0,
2843,2843,0,
2933,2933,0,
2777.842494,3516,0.209942408,
3683,3683,0,
3661,3661,0,
2629,2629,0,
2041,2041,0,
1727,1727,0,
1364,1364,0,
1048,1048,0,
896,896,0,
1131,1131,0,
1091,1091,0,
140,140,0,
393.106069,183,1.148120596,
361,361,0,
755,755,0,
1836,1836,0,
1841.178167,1326,0.388520488,
1845.596428,2679,0.311087559,
1849.366302,1976,0.064085879,
1852.58294,2286,0.189596264,
1855.327531,1755,0.057166685,
1986,1986,0,
2315,2315,0,
2967,2967,0,
3746,3746,0,
3940,3940,0,
4172,4172,0,
3095,3095,0,
1813,1813,0,
1325,1325,0,
1254,1254,0,
1351,1351,0,
1565,1565,0,
2472,2472,0,
917,917,0,
138,138,0,
179,179,0,
447,447,0,
655.4043829,1772,0.630132967,
2048,2048,0,
2022.111972,3019,0.330204713,
2167,2167,0,
1677,1677,0,
1792,1792,0,
1804,1804,0,
2063,2063,0,
2440,2440,0,
3060,3060,0,
3960,3960,0,
4240,4240,0,
4283,4283,0,
3326,3326,0,
2054,2054,0,
1436,1436,0,
1059,1059,0,
785,785,0,
471,471,0,
256,256,0,
185,185,0,
166,166,0,
260,260,0,
538,538,0,
1479,1479,0,
2783,2783,0,
3548,3548,0,
3164,3164,0,
1695,1695,0,
1794,1794,0,
1965,1965,0,
1928,1928,0,
2484,2484,0,
3106,3106,0,
3448,3448,0,
3681,3681,0,
3417.65888,3897,0.123002597,
2947,2947,0,
1985,1985,0,
1366,1366,0,
1039,1039,0,
836,836,0,
476,476,0,
680.0128054,288,1.361155574,
231,231,0,
177,177,0,
235,235,0,
418,418,0,
770,770,0,
1137,1137,0,
1481,1481,0,
1571,1571,0,
1853,1853,0,
2051,2051,0,
2152,2152,0,
2402,2402,0,
2699,2699,0,
3464,3464,0,
3832,3832,0,
4044,4044,0,
4216,4216,0,
3166,3166,0,
2299,2299,0,
1725,1725,0,
1409,1409,0,
1074,1074,0,
708,708,0,
399,399,0,
255,255,0,
229,229,0,
186,186,0,
303,303,0,
326,326,0,
573,573,0,
926,926,0,
1172,1172,0,
1687,1687,0,
2011,2011,0,
2103,2103,0,
2294,2294,0,
2313,2313,0,
2594,2594,0,
2489.611526,2945,0.154631061,
2900,2900,0,
2944,2944,0,
2473,2473,0,
2162,2162,0,
1750,1750,0,
1597,1597,0,
1242,1242,0,
806,806,0,
965,965,0,
1239,1239,0,
871,871,0,
1486,1486,0,
1541.181724,729,1.114103873,
313,313,0,
536.8347761,380,0.412723095,
1776,1776,0,
1767,1767,0,
1698,1698,0,
2246,2246,0,
2191.35856,2581,0.1509653,
2821,2821,0,
2914,2914,0,
3182,3182,0,
3328,3328,0,
3516,3516,0,
3304,3304,0,
3098.000876,2787,0.111589837,
2696,2696,0,
2577.432595,2273,0.13393427,
1634,1634,0,
967,967,0,
1097.268919,549,0.99866834,
727,727,0,
609,609,0,
525,525,0,
718.1632584,644,0.115160339,
897,897,0,
1424,1424,0,
1776,1776,0,
2145,2145,0,
2256,2256,0,
2319,2319,0,
2420,2420,0,
2565,2565,0,
2721,2721,0,
2902,2902,0,
3277,3277,0,
3841,3841,0,
4126,4126,0,
3804.712085,4098,0.071568549,
2989,2989,0,
2126,2126,0,
1757,1757,0,
1359,1359,0,
1107,1107,0,
819,819,0,
615,615,0,
556,556,0,
506,506,0,
593,593,0,
847,847,0,
1312,1312,0,
1719,1719,0,
2143,2143,0,
2213,2213,0,
2345,2345,0,
2369,2369,0,
2406,2406,0,
2598,2598,0,
2867,2867,0,
2724.979998,3203,0.149241337,
3718,3718,0,
4176,4176,0,
3849.348732,4165,0.075786619,
3231,3231,0,
2329,2329,0,
2264.341845,1838,0.231959654,
1323,1323,0,
1404,1404,0,
855,855,0,
252,252,0,
169,169,0,
155,155,0,
567,567,0,
1983,1983,0,
2831,2831,0,
3129,3129,0,
1832,1832,0,
1643,1643,0,
1675.838674,1812,0.075144219,
1755,1755,0,
1836,1836,0,
2096,2096,0,
2200,2200,0,
3236,3236,0,
3876,3876,0,
4223,4223,0,
4132,4132,0,
3199,3199,0,
2031,2031,0,
1424,1424,0,
1038,1038,0,
1157.498655,695,0.66546569,
448,448,0,
269,269,0,
187,187,0,
169,169,0,
410.7889808,204,1.013671474,
438,438,0,
826,826,0,
1150,1150,0,
1326,1326,0,
1538,1538,0,
1585.311697,1667,0.049003181,
1825,1825,0,
1831.547474,1931,0.051503121,
1872,1872,0,
2356,2356,0,
2908,2908,0,
3608,3608,0,
3362.258743,3891,0.13588827,
4041,4041,0,
2762,2762,0,
1708,1708,0,
1291,1291,0,
1053,1053,0,
811,811,0,
453,453,0,
272,272,0,
196,196,0,
167,167,0,
240,240,0,
483,483,0,
2279,2279,0,
3195,3195,0,
2813,2813,0,
2355,2355,0,
1693,1693,0,
1973,1973,0,
1990,1990,0,
2239,2239,0,
2766,2766,0,
3507,3507,0,
3922,3922,0,
4149,4149,0,
4311,4311,0,
3174,3174,0,
2990.423766,2207,0.354972254,
1720,1720,0,
1081,1081,0,
1193.488709,1152,0.036014505,
727,727,0,
416,416,0,
272,272,0,
252,252,0,
854,854,0,
2266,2266,0,
1557,1557,0,
2322,2322,0,
1798,1798,0,
2616,2616,0,
1826,1826,0,
2014,2014,0,
2136,2136,0,
2098.565187,2233,0.060203678,
2490,2490,0,
2645,2645,0,
3228,3228,0,
3554,3554,0,
3539,3539,0,
2884,2884,0,
2296,2296,0,
1894,1894,0,
1621,1621,0,
1295,1295,0,
826,826,0,
531,531,0,
627,627,0,
658,658,0,
651,651,0,
695,695,0,
1281,1281,0,
2040,2040,0,
1720,1720,0,
2011,2011,0,
1991.349001,1867,0.066603643,
2241,2241,0,
2472,2472,0,
2765,2765,0,
2948,2948,0,
3089,3089,0,
3135,3135,0,
3218,3218,0,
3016,3016,0,
2621,2621,0,
2174,2174,0,
1736,1736,0,
1411,1411,0,
916,916,0,
1051.574882,584,0.800641921,
1461,1461,0,
1941,1941,0,
894,894,0,
804,804,0,
1506,1506,0,
2293,2293,0,
2449,2449,0,
2305,2305,0,
2462,2462,0,
2325,2325,0,
1720,1720,0,
1896,1896,0,
2024,2024,0,
2002.83549,2272,0.118470295,
1984.678339,2791,0.288900631,
3581,3581,0,
3400,3400,0,
4119,4119,0,
3802.394221,2504,0.518528043,
1761,1761,0,
1331,1331,0,
997,997,0,
635,635,0,
811.4376587,378,1.146660473,
235,235,0,
467.717844,166,1.817577373,
153,153,0,
396.7707627,216,0.836901679,
427,427,0,
912,912,0,
1363,1363,0,
1669,1669,0,
1579,1579,0,
1765,1765,0,
1630,1630,0,
1702,1702,0,
1875,1875,0,
2203,2203,0,
3034,3034,0,
3754,3754,0,
4114,4114,0,
3957,3957,0,
3108,3108,0,
1891,1891,0,
1379,1379,0,
969,969,0,
807,807,0,
438,438,0,
245,245,0,
178,178,0,
416.9630689,130,2.207408222,
235,235,0,
438,438,0,
893,893,0,
1682,1682,0,
2606,2606,0,
1724,1724,0,
1757,1757,0,
1699,1699,0,
1789,1789,0,
1852,1852,0,
1935,1935,0,
2642,2642,0,
3333,3333,0,
3126.783163,3842,0.186157428,
3360,3360,0,
3150.364797,2761,0.141023106,
1677,1677,0,
1151,1151,0,
841,841,0,
986.8520938,622,0.586578929,
426,426,0,
215,215,0,
164,164,0,
105,105,0,
486,486,0,
759,759,0,
884,884,0,
1288,1288,0,
1594,1594,0,
2092,2092,0,
1683,1683,0,
1364,1364,0,
1497,1497,0,
1845,1845,0,
2078,2078,0,
2874,2874,0,
3238,3238,0,
3418,3418,0,
3504,3504,0,
2532,2532,0,
1850,1850,0,
1118,1118,0,
928,928,0,
659,659,0,
382,382,0,
618,618,0,
1067,1067,0,
978,978,0,
402,402,0,
607.8081882,407,0.493386212,
691,691,0,
982,982,0,
1527,1527,0,
1980,1980,0,
1505,1505,0,
1633,1633,0,
1780,1780,0,
1971,1971,0,
2222,2222,0,
2171.916948,3077,0.294144638,
3260,3260,0,
3267,3267,0,
4027,4027,0,
3724.66733,3020,0.233333553,
2121,2121,0,
1423,1423,0,
1485.749603,862,0.723607428,
883,883,0,
437,437,0,
638.1437592,254,1.512377005,
204,204,0,
140,140,0,
125,125,0,
151,151,0,
315,315,0,
434,434,0,
580,580,0,
776,776,0,
1530,1530,0,
1633,1633,0,
1969,1969,0,
2117,2117,0,
2005,2005,0,
1985.063925,2535,0.216937308,
2808,2808,0,
2632,2632,0,
2802,2802,0,
2239,2239,0,
1766,1766,0,
1501,1501,0,
1008,1008,0,
786,786,0,
534,534,0,
300,300,0,
135,135,0,
111,111,0,
71,71,0,
154,154,0,
1248,1248,0,
513,513,0,
700.6209388,853,0.178638993,
652,652,0,
1177,1177,0,
1415,1415,0,
1416,1416,0,
1477.582306,1548,0.045489466,
1911,1911,0,
2327,2327,0,
2261.495198,2077,0.088827732,
2050,2050,0,
2689,2689,0,
2343,2343,0,
1978,1978,0,
1961.278522,1233,0.590655736,
1196,1196,0,
696,696,0,
280,280,0,
232,232,0,
109,109,0,
90,90,0,
122,122,0,
296,296,0,
983,983,0,
642,642,0,
1486,1486,0,
1094,1094,0,
1400,1400,0,
1246,1246,0,
1396,1396,0,
1716,1716,0,
1734.984766,1660,0.045171546,
2500,2500,0,
3022,3022,0,
3537,3537,0,
3107,3107,0,
2175,2175,0,
1406,1406,0,
705,705,0,
688,688,0,
396,396,0,
598.28496,297,1.014427475,
68,68,0,
85,85,0,
87,87,0,
108,108,0,
348.7202135,257,0.35688799,
1299,1299,0,
1089,1089,0,
1709,1709,0,
1511,1511,0,
1538,1538,0,
1429,1429,0,
1383,1383,0,
1447.493078,1652,0.123793536,
1715,1715,0,
2515,2515,0,
3088,3088,0,
3290,3290,0,
2992,2992,0,
2168,2168,0,
2123.894042,1605,0.323298469,
643,643,0,
810.4176039,226,2.585918601,
954.5555978,371,1.57292614,
156,156,0,
159,159,0,
85,85,0,
28,28,0,
87,87,0,
224,224,0,
511,511,0,
766,766,0,
915,915,0,
855,855,0,
1273,1273,0,
1421,1421,0,
1588,1588,0,
1426,1426,0,
1483.588682,2011,0.262263211,
2512,2512,0,
2204,2204,0,
3334,3334,0,
2891,2891,0,
1962,1962,0,
1316,1316,0,
1104,1104,0,
545,545,0,
366,366,0,
223,223,0,
446.3343281,126,2.542335937,
99,99,0,
104,104,0,
88,88,0,
328.7731798,320,0.027416187,
457,457,0,
665,665,0,
902,902,0,
787,787,0,
931.3741204,1261,0.26140038,
1346,1346,0,
1340,1340,0,
1403,1403,0,
2406,2406,0,
3076,3076,0,
3536,3536,0,
3839,3839,0,
3996,3996,0,
2974,2974,0,
1958,1958,0,
1380,1380,0,
1003,1003,0,
821,821,0,
460,460,0,
649.1203507,270,1.404149447,
204,204,0,
427.7314307,161,1.656716961,
230,230,0,
417,417,0,
886,886,0,
1333,1333,0,
1708,1708,0,
1568,1568,0,
1686,1686,0,
1965,1965,0,
1995,1995,0,
2186,2186,0,
2543,2543,0,
3382,3382,0,
302,302,0,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
249.011722,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
246.4839729,0,#DIV/0!,
0,0,#DIV/0!,
0,0,#DIV/0!,
